cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,happy,sclmeet,inmdisc,inprdsc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb
AT,ESS1-8e01,1.0,12.12.2018,8729,ESS8e02_1,8,2.1,22,0.622807741165161,0.647780179977417,0.370392886,7,4,,3,3,2,1,,,,,,,,,1,3,2,66,2,66,1,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8730,ESS8e02_1,8,2.1,23,1.73642385005951,2.93387079238892,0.370392886,9,5,,2,4,2,1,,,,,,,,,1,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8731,ESS8e02_1,8,2.1,24,0.50876247882843,0.374067783355713,0.370392886,2,5,,4,4,2,2,,,,,,,,,2,3,1,1,6,66,3,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8732,ESS8e02_1,8,2.1,28,0.877057552337646,0.696788847446442,0.370392886,6,4,,2,3,2,1,,,,,,,,,2,3,2,66,1,1,3,5,88,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,2,,,,NL,,1975,,GER,,000,2,2,,,,NL,2,,,,NL
AT,ESS1-8e01,1.0,12.12.2018,8733,ESS8e02_1,8,2.1,29,1.01752495765686,0.699867308139801,0.370392886,8,3,,3,2,2,3,,,,,,,,,2,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8734,ESS8e02_1,8,2.1,30,0.505510330200195,0.505510985851288,0.370392886,7,5,,4,3,2,2,,,,,,,,,2,3,1,1,6,66,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8735,ESS8e02_1,8,2.1,32,1.65181183815002,2.93157386779785,0.370392886,8,3,,6,3,2,2,,,,,,,,,1,3,1,1,6,66,5,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8736,ESS8e02_1,8,2.1,34,1.07423329353333,0.69475245475769,0.370392886,5,5,,4,3,2,2,,,,,,,,,1,3,2,66,2,66,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,SPA,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8737,ESS8e02_1,8,2.1,39,1.7662832736969,1.53235280513763,0.370392886,8,3,,3,2,2,2,,,,,,,,,2,3,1,1,6,66,8,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8738,ESS8e02_1,8,2.1,42,1.14104723930359,1.91753673553467,0.370392886,5,6,,4,2,2,4,,,,,,,,,3,3,2,66,2,66,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,HU,2,,,,HU,,1988,,GER,,HUN,2,2,,,,HU,2,,,,HU
AT,ESS1-8e01,1.0,12.12.2018,8739,ESS8e02_1,8,2.1,43,0.648005485534668,0.36016833782196,0.370392886,10,4,,4,7,2,1,,,,,,,,,1,3,1,1,6,66,10,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8740,ESS8e02_1,8,2.1,45,1.44096004962921,0.7413529753685,0.370392886,8,4,,1,2,2,1,,,,,,,,,2,3,1,1,6,66,6,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8741,ESS8e02_1,8,2.1,48,0.534823954105377,0.405347943305969,0.370392886,8,6,,6,4,2,1,,,,,,,,,2,2,1,1,6,66,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8742,ESS8e02_1,8,2.1,49,1.21534550189972,1.85865521430969,0.370392886,8,7,,3,4,2,1,,,,,,,,,1,3,1,1,6,66,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8743,ESS8e02_1,8,2.1,50,0.897752642631531,0.482683211565018,0.370392886,8,7,,4,2,2,3,,,,,,,,,4,1,1,1,6,66,8,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8744,ESS8e02_1,8,2.1,52,1.38456988334656,0.708846807479858,0.370392886,7,4,,3,3,2,2,,,,,,,,,3,2,1,1,6,66,3,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8745,ESS8e02_1,8,2.1,53,0.374376744031906,0.241673141717911,0.370392886,8,5,,3,3,2,1,,,,,,,,,2,3,1,1,6,66,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8746,ESS8e02_1,8,2.1,54,0.866947114467621,0.737636208534241,0.370392886,8,5,,5,3,2,1,,,,,,,,,3,2,1,1,6,66,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8747,ESS8e02_1,8,2.1,56,1.1259263753891,0.774427115917206,0.370392886,8,4,,2,3,2,2,,,,,,,,,2,3,1,1,6,66,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8748,ESS8e02_1,8,2.1,57,1.39071476459503,0.747727751731873,0.370392886,6,5,,4,3,2,3,,,,,,,,,3,2,1,1,6,66,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8749,ESS8e02_1,8,2.1,58,2.68454337120056,2.3533730506897,0.370392886,10,6,,2,2,1,2,,,,,,,,,1,3,1,1,6,66,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
